Tier,#,Platform,Monthly Users / Reach,Revenue Model,SDK Required,Integration Effort,Priority for Quiz Game,Status,Notes
Tier 1 - Major Portals,1,Poki,80M+,Ad revenue share,Poki SDK,Medium,P0 - Critical,Not Started,Largest web game portal; curated submissions
Tier 1 - Major Portals,2,CrazyGames,40M+,Ad revenue share (70%),CrazyGames SDK,Medium,P0 - Critical,Not Started,"3,000+ developers; strong discovery"
Tier 1 - Major Portals,3,Y8,30M+,Ad revenue share,Y8 SDK,Medium,P2 - Medium,Not Started,One of the oldest portals; huge catalog
Tier 1 - Major Portals,4,Newgrounds,10M+,Ad revenue share + Supporter,None,Low,P1 - High,Not Started,Strong indie community; creative freedom
Tier 1 - Major Portals,5,Kongregate,8M+,Ads + Virtual Goods API,Kongregate SDK,Medium,P2 - Medium,Not Started,Established platform; achievement system
Tier 1 - Major Portals,6,Addicting Games,5M+,Ad revenue share,None,Low,P2 - Medium,Not Started,Classic casual game portal
Tier 1 - Major Portals,7,Armor Games,3M+,Ad revenue share,None,Low,P2 - Medium,Not Started,Quality-focused indie portal
Tier 2 - Distribution Networks,8,GameDistribution,7500+ publishers,50% rev share,GD SDK,Medium,P1 - High,Not Started,"One upload reaches thousands of publishers"
Tier 2 - Distribution Networks,9,GameMonetize,3500+ publishers,45% rev share (90% self-pub),GM SDK,Medium,P2 - Medium,Not Started,"Net 30 payout; $30 min via PayPal/USDT"
Tier 2 - Distribution Networks,10,GamePix,1000+ publishers,Revenue share,GamePix SDK,Medium,P2 - Medium,Not Started,Focus on quality HTML5 games
Tier 2 - Distribution Networks,11,Softgames,500M+ monthly reach,Revenue share,Softgames SDK,Medium,P2 - Medium,Not Started,Mobile web focused; carrier deals
Tier 3 - Self-Publishing / Indie,12,itch.io,Large indie community,Free / PWYW / Paid,None,Low,P0 - Critical,Not Started,"Instant publish; full control; build community"
Tier 3 - Self-Publishing / Indie,13,Game Jolt,Growing,Free + ad revenue,None,Low,P1 - High,Not Started,Community-driven; game jams
Tier 3 - Self-Publishing / Indie,14,Miniplay,Medium,Ad revenue share,None,Low,P3 - Low,Not Started,Spanish market strong
Tier 3 - Self-Publishing / Indie,15,SilverGames,Medium,Ad revenue share,None,Low,P3 - Low,Not Started,Curated casual games
Tier 3 - Self-Publishing / Indie,16,WebGamer,Niche,Ad-free / domain iframing,None,Low,P3 - Low,Not Started,Clean UX; ad-free
Tier 4 - Social / Messaging,17,Telegram Mini Apps,900M+,IAP + Ads,Bot API + Mini Apps SDK,High,P0 - Critical,Not Started,"Viral sharing in chats; leaderboards built-in; quiz games thrive"
Tier 4 - Social / Messaging,18,Discord Activities,200M+,IAP + Subscriptions,Embedded App SDK,High,P1 - High,Not Started,Play inside Discord voice channels
