Done	Dependency	Category	Why I Need This	Tool / Platform	AI Use (When to Ask AI)	Version	Install / Notes
	@heroiclabs/nakama-js	Runtime	Auth, RPC calls, leaderboards, storage, account - core backend client	npm, Node.js	"Use Cursor/Copilot: explore Nakama authenticateCustom, rpc(), getAccount examples"	>=2.7.0	npm install @heroiclabs/nakama-js
	ethers	Runtime	Wallet connection (MetaMask), signing, balance, chain ID - EVM interaction	npm, Browser (EIP-1193)	"Use Cursor/Copilot: generate signMessage, getBalance, BrowserProvider code"	>=6.0.0	npm install ethers
	Nakama Server	Backend	Runs auth, RPCs, storage - SDK cannot work without it	Docker / Host	"Use Cursor/ChatGPT: Nakama config, RPC registration, deployment steps"	—	Deploy Nakama (github.com/heroiclabs/nakama)
	ivx_web3_verify_wallet	Backend RPC	Verify wallet signature on login - required for authenticateWallet()	Nakama server (Go/Lua)	"Use AI: generate signature verification logic, Go/Lua RPC template"	—	Implement on Nakama server
	ivx_web3_fetch_nfts	Backend RPC	Fetch NFTs for wallet - powers fetchNfts()	Nakama + Moralis/Alchemy/Thirdweb	"Use AI: Moralis/Alchemy API integration, NFT response parsing"	—	Implement on Nakama server
	ivx_web3_fetch_tokens	Backend RPC	Fetch ERC-20 balances - powers fetchTokenBalances()	Nakama + Moralis/Alchemy	"Use AI: token balance API calls, decimals handling"	—	Implement on Nakama server
	ivx_web3_check_gate	Backend RPC	Check token-gated access - powers checkTokenGate()	Nakama + chain RPC	"Use AI: ownership check logic, minBalance comparison"	—	Implement on Nakama server
	ivx_sync_metadata	Backend RPC	Sync SDK version and platform - analytics/tracking	Nakama server	"Use AI: metadata storage RPC template"	—	Implement on Nakama server
	hiro_economy_list	Backend RPC (optional)	List in-game wallet - powers fetchWallet()	Nakama + Hiro/Satori	"Use AI: Hiro economy API integration"	—	Optional - for economy features
	hiro_economy_grant	Backend RPC (optional)	Grant in-game currency - powers grantCurrency()	Nakama + Hiro/Satori	"Use AI: Hiro grant API usage"	—	Optional - for economy features
	TypeScript	Dev	Type checking, IntelliSense, .d.ts generation	npm, IDE	"Use Cursor: refactor types, fix type errors"	^5.4.0	npm install -D typescript
	tsup	Dev	Bundle CJS + ESM, generate .d.ts - single build command	npm	"Use Cursor: tweak build config, add formats"	^8.0.0	npm install -D tsup
	vitest	Dev	Unit tests - run npm test	npm	"Use Cursor/Copilot: write test cases, mock nakama/ethers"	^2.0.0	npm install -D vitest
	Node.js	Platform	Run npm, build, test - required for dev	OS install	"Use AI: Node version setup, nvm usage"	18+	nodejs.org
	MetaMask / EIP-1193 wallet	Platform	Connect wallet in browser - needed for connectWallet()	Browser extension	"Use AI: MetaMask setup, testnet config"	—	Install MetaMask or similar
	config/keys.json	Config	Store Nakama host, Moralis key - no hardcoding	Repo root	"Use AI: keys.example.json template, env var mapping"	—	Copy from config/keys.example.json
	moralisApiKey	Config (optional)	Moralis API for NFT/token data - optional	config or env	"Use AI: Moralis API setup, rate limits"	—	Optional - for NFT/token features
	thirdwebClientId	Config (optional)	Thirdweb integration - optional	config	"Use AI: Thirdweb dashboard, client ID setup"	—	Optional - for Thirdweb features
